schoolnr,pupilNR,lang,ses,Iqverb,sex,Minority,denomina,schses,schiqv,shcmin
1,3,46,-4.73,3.13,0,0,1,-14.035,-1.4039,0.63
1,4,45,-17.73,2.63,0,1,1,-14.035,-1.4039,0.63
1,5,33,-12.73,-2.37,0,0,1,-14.035,-1.4039,0.63
1,6,46,-4.73,-0.87,0,0,1,-14.035,-1.4039,0.63
1,7,20,-17.73,-3.87,0,0,1,-14.035,-1.4039,0.63
1,8,30,-17.73,-2.37,0,1,1,-14.035,-1.4039,0.63
1,9,30,-4.73,-2.37,0,1,1,-14.035,-1.4039,0.63
1,10,57,-17.73,1.13,0,0,1,-14.035,-1.4039,0.63
1,11,36,-14.73,-2.37,0,1,1,-14.035,-1.4039,0.63
1,12,36,-12.73,-0.87,0,1,1,-14.035,-1.4039,0.63
1,13,29,-17.73,-6.37,1,1,1,-14.035,-1.4039,0.63
1,14,40,-9.73,2.13,0,0,1,-14.035,-1.4039,0.63
1,15,41,-12.73,-2.87,0,1,1,-14.035,-1.4039,0.63
1,16,47,-7.73,-1.37,0,1,1,-14.035,-1.4039,0.63
1,17,33,-17.73,-1.87,0,1,1,-14.035,-1.4039,0.63
1,18,37,-7.73,-0.87,0,0,1,-14.035,-1.4039,0.63
1,19,29,-14.73,-5.37,1,0,1,-14.035,-1.4039,0.63
1,20,26,-17.73,-7.87,1,1,1,-14.035,-1.4039,0.63
1,21,37,-17.73,-0.87,1,1,1,-14.035,-1.4039,0.63
1,22,40,-12.73,-0.87,1,1,1,-14.035,-1.4039,0.63
1,23,27,-17.73,-0.87,1,0,1,-14.035,-1.4039,0.63
1,24,43,-14.73,0.63,1,0,1,-14.035,-1.4039,0.63
1,25,39,-17.73,-0.37,1,1,1,-14.035,-1.4039,0.63
1,26,21,-17.73,-1.87,1,1,1,-14.035,-1.4039,0.63
1,27,42,-17.73,-1.87,1,1,1,-14.035,-1.4039,0.63
2,28,21,-12.73,-0.37,1,0,1,-12.299,-2.8668,0.143
2,29,27,-12.73,-1.37,0,0,1,-12.299,-2.8668,0.143
2,30,16,-7.73,-3.87,0,0,1,-12.299,-2.8668,0.143
2,31,31,-12.73,-4.37,1,0,1,-12.299,-2.8668,0.143
2,32,21,-17.73,-4.37,0,1,1,-12.299,-2.8668,0.143
2,33,18,-4.73,-5.37,1,0,1,-12.299,-2.8668,0.143
2,34,32,-17.73,-0.37,0,0,1,-12.299,-2.8668,0.143
3,36,50,6.27,2.13,1,0,1,1.162,-0.3668,0
3,37,25,-13.73,-2.87,1,0,1,1.162,-0.3668,0
3,38,38,7.27,-1.37,1,0,1,1.162,-0.3668,0
3,39,33,-5.73,-2.37,0,0,1,1.162,-0.3668,0
3,40,41,9.27,-0.87,0,0,1,1.162,-0.3668,0
3,41,41,-1.73,-0.37,1,0,1,1.162,-0.3668,0
3,42,39,-7.73,-1.37,1,0,1,1.162,-0.3668,0
3,43,52,12.27,1.13,1,0,1,1.162,-0.3668,0
9,92,34,-6.73,-0.87,0,0,1,3.182,0.9059,0
9,93,34,5.27,1.63,0,0,1,3.182,0.9059,0
9,94,43,-2.73,-0.87,0,0,1,3.182,0.9059,0
9,95,40,0.27,1.13,1,0,1,3.182,0.9059,0
9,96,48,13.27,0.63,0,0,1,3.182,0.9059,0
9,97,46,-4.73,1.13,0,0,1,3.182,0.9059,0
9,98,45,4.27,-1.37,0,0,1,3.182,0.9059,0
9,99,55,15.27,2.13,0,0,1,3.182,0.9059,0
9,100,53,12.27,1.63,1,0,1,3.182,0.9059,0
